position,shap_RIF_only,shap_ETH_only,shap_RIF_in_coresist,shap_ETH_in_coresist,shap_RIF_neither,shap_ETH_neither,delta_RIF,delta_ETH,max_abs_delta,gene
pos_761139,0.061505835950334195,0.003051275983038835,0.03377310565845401,0.005196830282115105,0.027705655285810597,0.0017502618903697258,-0.027732730291880184,0.0021455542990762703,0.027732730291880184,rpoB
pos_760115,0.005018814040230229,0.032547003939804336,0.005506916755734119,0.012084318429344248,0.010980011942283019,0.02529873211013223,0.0004881027155038903,-0.02046268551046009,0.02046268551046009,rpoB
pos_761155,0.2852420590738961,0.06278690821644978,0.26526392097156487,0.06888617409015911,0.3732274118164302,0.08571353661185838,-0.019978138102331233,0.006099265873709334,0.019978138102331233,rpoB
pos_4248003,0.002797418271464573,0.01357508047011125,0.005371741694404209,0.02662474260255785,0.004369164262729049,0.01026534532159636,0.002574323422939636,0.0130496621324466,0.0130496621324466,embB
pos_4242803,0.0035189401801288427,0.021296844902071316,0.003555725157560972,0.008620868611034796,0.006558406144088787,0.013858841376192137,3.678497743212937e-05,-0.01267597629103652,0.01267597629103652,embC
pos_4242182,0.0016249222715467647,0.018821774024148672,0.002123583028617304,0.006536246251163555,0.0011244745341198962,0.005806582831336501,0.0004986607570705392,-0.012285527772985118,0.012285527772985118,embC
pos_4247429,0.019919628329328396,0.13988703688257076,0.029151219235760518,0.1452696100386173,0.046423670339528905,0.11903708748783384,0.009231590906432122,0.005382573156046538,0.009231590906432122,embB
pos_761109,0.005221022437192887,0.011115289328735012,0.006307693340117485,0.005246941644807002,0.0032160038698135886,0.003344499269169337,0.0010866709029245985,-0.00586834768392801,0.00586834768392801,rpoB
pos_4243460,0.010558461985842397,0.0070271507802745995,0.010443830756741091,0.012280428549790133,0.014706416195575027,0.007348840094300146,-0.00011463122910130609,0.0052532777695155335,0.0052532777695155335,embA
pos_762089,0.0019662301716274738,0.006266440024121383,0.0026071675633778527,0.010557934074842906,0.0008868164322498099,0.004620095376309175,0.0006409373917503789,0.004291494050721523,0.004291494050721523,rpoB
pos_761140,0.018926028397874366,0.005201853009461516,0.0152726217655419,0.007584337316026871,0.015439433770599656,0.007281746987369357,-0.0036534066323324656,0.0023824843065653554,0.0036534066323324656,rpoB
pos_4247469,0.000643805832119138,0.0010397902542204328,0.0014504738042411286,0.004690508643420966,0.0001979980099087687,8.704115283848007e-05,0.0008066679721219906,0.0036507183892005336,0.0036507183892005336,embB
pos_761110,0.06262313721392641,0.008579987933578205,0.0661382212596589,0.010931575115467137,0.0618604460614434,0.007942333143920854,0.003515084045732489,0.0023515871818889315,0.003515084045732489,rpoB
pos_2289091,0.003376329914000327,0.005065954799169182,0.005197925414296445,0.008542683903508512,0.003929930487783353,0.005318131885029296,0.001821595500296118,0.0034767291043393293,0.0034767291043393293,pncA
pos_1674048,0.0006116360330671071,0.006863665040520377,0.0007078412674581473,0.003565451559763834,0.0010805953968959518,0.00458543709225442,9.620523439104014e-05,-0.0032982134807565426,0.0032982134807565426,fabG1
pos_4249583,0.0010878786133504737,0.0031755404090981114,0.0016284316363943897,0.006309547543334699,0.0013322078418468598,0.001324183249524319,0.000540553023043916,0.0031340071342365874,0.0031340071342365874,embB
pos_4243346,0.0021462455580032154,0.0029126429931747152,0.0036566481417643717,0.005877818426389566,0.0010071697905595484,0.002002878422911703,0.0015104025837611563,0.0029651754332148507,0.0029651754332148507,embA
pos_4249323,0.0014244975858065062,0.005931651249650849,0.0017365726132045627,0.0031853691934890472,0.0016714579340062722,0.0009060148825751294,0.00031207502739805646,-0.002746282056161802,0.002746282056161802,embB
pos_2155168,0.013192552263806955,0.028780602910089322,0.010572966214573454,0.027879656614636383,0.010876671358949678,0.014615262718310323,-0.002619586049233501,-0.0009009462954529396,0.002619586049233501,katG
pos_761161,0.005222761300601006,0.005951069081995866,0.003010369884476715,0.0035349773506440484,0.005391510562372745,0.002947213749805669,-0.002212391416124291,-0.002416091731351817,0.002416091731351817,rpoB
pos_2289047,0.002802299291898271,0.005244654529845225,0.0020425926413742603,0.007288542176832133,0.006193912083748469,0.004022486923625785,-0.0007597066505240107,0.002043887646986909,0.002043887646986909,pncA
pos_4247431,0.01342215238236532,0.07513586743823703,0.015415038957485484,0.0731806476671132,0.025069489294087956,0.06517964059579942,0.0019928865751201643,-0.0019552197711238256,0.0019928865751201643,embB
pos_763031,0.004975907765470845,0.011997440604691488,0.004317744196589193,0.013778467242885286,0.0165793489618735,0.009563946149271927,-0.0006581635688816517,0.001781026638193798,0.001781026638193798,rpoB
