position,shap_RIF_only,shap_PZA_only,shap_RIF_in_coresist,shap_PZA_in_coresist,shap_RIF_neither,shap_PZA_neither,delta_RIF,delta_PZA,max_abs_delta,gene
pos_4247431,0.012121467279812233,0.038485210530185054,0.01671272859361235,0.06589964250722342,0.025646435003559495,0.04939007097267808,0.004591261313800117,0.02741443197703837,0.02741443197703837,embB
pos_2155168,0.01284269322198145,0.05170447021358997,0.010374459740942045,0.02724991775486786,0.010749324202406575,0.019464646403159466,-0.0024682334810394047,-0.024454552458722106,0.024454552458722106,katG
pos_761139,0.05527645264872888,0.004053141677546579,0.033519857445645805,0.006869372392643303,0.027635809017915267,0.0022827657446980597,-0.021756595203083075,0.0028162307150967235,0.021756595203083075,rpoB
pos_2289213,0.000882179019933829,0.009408875568328378,0.0032086593650257726,0.02688713521820961,0.003097492247391813,0.009064498275015582,0.0023264803450919434,0.01747825964988123,0.01747825964988123,pncA
pos_761155,0.2790560891647976,0.06790620778841776,0.2663244638968437,0.08519040717174278,0.3719184688863927,0.0944628753510909,-0.012731625267953905,0.017284199383325025,0.017284199383325025,rpoB
pos_4247429,0.024825744857582235,0.06414188565532042,0.027162597387901166,0.08075312078204877,0.04618201564132558,0.06739289443054908,0.0023368525303189315,0.016611235126728352,0.016611235126728352,embB
pos_761110,0.060847530511507125,0.007694467655591733,0.06804760432371473,0.02403305203706499,0.06239792083975641,0.015060595738580606,0.007200073812207608,0.016338584381473256,0.016338584381473256,rpoB
pos_763031,0.005014088939840859,0.026764822370651493,0.004175598520936932,0.010768071028084124,0.017159272894702492,0.0278369176483283,-0.0008384904189039271,-0.015996751342567367,0.015996751342567367,rpoB
pos_4248003,0.0038811807182713943,0.002956041764514897,0.005025297667858245,0.014817788791499168,0.0045800821392543035,0.004477503968955462,0.0011441169495868507,0.011861747026984271,0.011861747026984271,embB
pos_2154724,0.005956420158188426,0.02693228679165244,0.00559618370070402,0.01656329045214074,0.0164016481799898,0.04001147888110229,-0.00036023645748440615,-0.010368996339511702,0.010368996339511702,katG
pos_4247730,0.005139260232070008,0.00852567608403766,0.005135592412773679,0.016533447680263505,0.011462078010287573,0.011281612094417859,-3.66781929632843e-06,0.008007771596225845,0.008007771596225845,embB
pos_761140,0.019081156173296487,0.001558399931483872,0.014525161329735043,0.0048722267722108095,0.01550409852134502,0.0031666989423691097,-0.004555994843561444,0.0033138268407269375,0.004555994843561444,rpoB
pos_760115,0.005714022400372584,0.011793311825455245,0.00508283324060504,0.007346085381879428,0.011699475582430124,0.014952381725261123,-0.0006311891597675437,-0.004447226443575817,0.004447226443575817,rpoB
pos_761161,0.00472754639357781,0.008690600123818396,0.0029888956677460244,0.004602876945988998,0.005097297042137745,0.0031023860515940103,-0.0017386507258317857,-0.0040877231778293985,0.0040877231778293985,rpoB
