position,shap_INH_only,shap_ETH_only,shap_INH_in_coresist,shap_ETH_in_coresist,shap_INH_neither,shap_ETH_neither,delta_INH,delta_ETH,max_abs_delta,gene
pos_2155168,0.19042327581621768,0.030039135948588255,0.11448638029450961,0.027874923302943597,0.38911381005586687,0.021341792653334003,-0.07593689552170807,-0.002164212645644658,0.07593689552170807,katG
pos_760115,0.0040828592449204055,0.04891685457323595,0.0031446715819411666,0.01233196980422341,0.010598390205924896,0.031078123569950798,-0.0009381876629792388,-0.03658488476901254,0.03658488476901254,rpoB
pos_4247429,0.015233202628133416,0.11274541822703778,0.019162347429620898,0.1458684501943993,0.038129855493163854,0.1134299966147179,0.003929144801487481,0.033123031967361535,0.033123031967361535,embB
pos_4242803,0.005548088320291689,0.034213256825752644,0.004437309556938163,0.00869356935124732,0.014627616068358664,0.0191230023951206,-0.001110778763353526,-0.025519687474505323,0.025519687474505323,embC
pos_4242182,0.0016515460803604594,0.0241403000567675,0.0019124654622210665,0.006816060228827549,0.0015713501427946817,0.00603146957567714,0.000260919381860607,-0.01732423982793995,0.01732423982793995,embC
pos_4248003,0.0034488572243033724,0.010298930394942245,0.004764005102501073,0.026258520800452673,0.007159058860615365,0.009398927609851757,0.0013151478781977003,0.015959590405510427,0.015959590405510427,embB
pos_2154724,0.016524218744248143,0.008473242911998875,0.008797075217130199,0.006521325775829321,0.039469459713029516,0.005804164288318222,-0.007727143527117944,-0.001951917136169554,0.007727143527117944,katG
pos_4243460,0.007262429807425431,0.005437719228307763,0.005068182800219858,0.012140869781848735,0.012319592474845013,0.005971094343671082,-0.002194247007205573,0.006703150553540972,0.006703150553540972,embA
pos_762089,0.0028936519695925327,0.004269216630625148,0.0036140531449173198,0.010464244513567379,0.0007442025457487358,0.004382898688948917,0.0007204011753247871,0.006195027882942231,0.006195027882942231,rpoB
pos_763031,0.010440734181268306,0.01247586842021307,0.004956295783983929,0.013701572918411406,0.029686693530015303,0.010271378759574769,-0.005484438397284377,0.001225704498198336,0.005484438397284377,rpoB
pos_4249583,0.0007842317033423729,0.0009008157943403788,0.0008538257227397992,0.006264859519527539,0.0009072150917825315,0.0009340268039624884,6.959401939742634e-05,0.005364043725187161,0.005364043725187161,embB
pos_4247431,0.027070140063812708,0.07848769091446259,0.023152566686126017,0.07315233129861043,0.06613028373542536,0.06567759740023664,-0.0039175733776866915,-0.005335359615852159,0.005335359615852159,embB
pos_761155,0.02213202897935371,0.06991110211404207,0.017265281923925853,0.06846333547442014,0.05962171714999234,0.07492111446997116,-0.004866747055427858,-0.001447766639621928,0.004866747055427858,rpoB
pos_1674048,0.012153297988871579,0.0048497334481926065,0.007920276379369283,0.0037406461181529677,0.016071160762559766,0.004668515363400327,-0.004233021609502296,-0.0011090873300396388,0.004233021609502296,fabG1
pos_4243346,0.0017581272340955606,0.0016808265224618,0.0023919314023659695,0.005808776630650242,0.0013485467274503384,0.0019282397133052467,0.0006338041682704089,0.004127950108188442,0.004127950108188442,embA
pos_761889,0.0008682075998222284,0.009583602940097464,0.0007651363699387281,0.005506012596490853,0.0014720697342203537,0.002860817450835784,-0.0001030712298835003,-0.004077590343606611,0.004077590343606611,rpoB
pos_1834177,0.008871177154293919,0.009132599759733542,0.005063128108410271,0.011186187554331234,0.02145007970246618,0.005928482418564021,-0.0038080490458836476,0.0020535877945976923,0.0038080490458836476,rpsA
pos_2289091,0.0002650722704956373,0.004828602657538844,0.000313348092629244,0.008426636138907375,0.0006537600278734944,0.004829512113397116,4.827582213360666e-05,0.0035980334813685306,0.0035980334813685306,pncA
pos_761139,0.002463314250899489,0.0017007997633657144,0.0013379043327304294,0.005160223348260075,0.003986202452573215,0.0025813965199523647,-0.0011254099181690596,0.00345942358489436,0.00345942358489436,rpoB
pos_761109,0.001419545223368364,0.002597417523808117,0.0013957380239633334,0.005702137638959503,0.0022601564656944857,0.0029822750999030498,-2.380719940503072e-05,0.003104720115151386,0.003104720115151386,rpoB
pos_2289047,0.002317531550156432,0.004252028477930928,0.0012950889352127644,0.0072451254536937595,0.003741909245210736,0.002748265984079375,-0.0010224426149436675,0.0029930969757628314,0.0029930969757628314,pncA
pos_2289213,0.0019649004838264354,0.0012813501567085347,0.0020678709603594646,0.004006596208797044,0.004497482763708681,0.0018778328541420512,0.00010297047653302915,0.0027252460520885095,0.0027252460520885095,pncA
pos_761110,0.010464766036774407,0.010586980972873628,0.0077483543763476135,0.01079005828588841,0.024920509456409782,0.00772553214902457,-0.0027164116604267933,0.00020307731301478192,0.0027164116604267933,rpoB
pos_761277,0.00044928014407835643,0.0042142071014430035,0.0002236374516328227,0.0018063206450401124,0.0011017857935548925,0.0015681004149912094,-0.00022564269244553374,-0.002407886456402891,0.002407886456402891,rpoB
pos_4247574,0.005673248139310371,0.010098499715179149,0.004340318442858885,0.012381243035734747,0.012562674874401172,0.013207059252267648,-0.001332929696451486,0.002282743320555598,0.002282743320555598,embB
pos_4249408,0.0014533898704294894,0.004582176658178927,0.0016968794594871698,0.002522868691101605,0.0014420122514487465,0.0010271393841058676,0.0002434895890576804,-0.0020593079670773217,0.0020593079670773217,embB
pos_1834836,0.0011085340880209133,0.0015202693212731484,0.0009397486720130337,0.003358538677804101,0.0018889095599695176,0.0014289557106028769,-0.00016878541600787958,0.0018382693565309526,0.0018382693565309526,rpsA
pos_4249323,0.0008730565417307126,0.004972794627460191,0.0012112371947870743,0.0033103675334091535,0.0012827907236853283,0.0009031215539714897,0.0003381806530563617,-0.001662427094051037,0.001662427094051037,embB
pos_762434,0.0032006110079422717,0.007011005426524795,0.0017758761210662877,0.008111013032557669,0.005911586761817229,0.011803924856974861,-0.001424734886875984,0.0011000076060328733,0.001424734886875984,rpoB
pos_761140,0.0019344788134977174,0.006234919941335586,0.001414496329641189,0.007470046337421935,0.004321119011081112,0.007445662501859321,-0.0005199824838565284,0.001235126396086349,0.001235126396086349,rpoB
pos_1674782,0.00198307582689198,0.0005190733623118611,0.0030628787776632886,0.0016750875748284201,0.002464758653510241,0.00042551049281756175,0.0010798029507713084,0.001156014212516559,0.001156014212516559,inhA
pos_4247730,0.006347210625325694,0.02041315113626438,0.005430212490394398,0.021408310444745112,0.014471646401944737,0.02209176845434521,-0.0009169981349312958,0.000995159308480733,0.000995159308480733,embB
pos_4240671,0.001590491393727769,0.004137266877247574,0.0006736936934984913,0.0046505486495139435,0.002626637707354375,0.014097358949263197,-0.0009167977002292777,0.0005132817722663698,0.0009167977002292777,embC
pos_4247729,0.0004113038585961859,0.004046649922895878,0.0009513447664599746,0.004820366940914212,0.00022001393749941672,0.0002723865618927827,0.0005400409078637887,0.0007737170180183344,0.0007737170180183344,embB
pos_2289090,0.002751769167812843,0.001971363896244619,0.002015559049481316,0.0017574308247680272,0.001993980628581973,0.0015180838969613847,-0.000736210118331527,-0.00021393307147659192,0.000736210118331527,pncA
pos_1674263,0.0018971520313027525,0.0015266515950303977,0.0018061783387618934,0.002260440189435599,0.0019441970431696987,0.0012289109948641513,-9.097369254085913e-05,0.0007337885944052012,0.0007337885944052012,inhA
pos_761161,0.0005578005809749292,0.002991955376447863,0.00037870469232065604,0.0037064597357254698,0.0008215177351770672,0.0020077475016604235,-0.00017909588865427315,0.0007145043592776067,0.0007145043592776067,rpoB
pos_4247646,0.0009545411022573455,0.0028659134507585953,0.0003633573092448804,0.0032364562079046644,0.0022219309662391386,0.008241718225156673,-0.0005911837930124652,0.0003705427571460691,0.0005911837930124652,embB
