position,shap_ETH_only,shap_PZA_only,shap_ETH_in_coresist,shap_PZA_in_coresist,shap_ETH_neither,shap_PZA_neither,delta_ETH,delta_PZA,max_abs_delta,gene
pos_4247429,0.1356330023430983,0.055547267978430334,0.14981793743743294,0.08736942825183706,0.11133352624537121,0.06481654484174146,0.014184935094334633,0.03182216027340673,0.03182216027340673,embB
pos_4247431,0.06949977586458503,0.053234332554178414,0.07530109170225861,0.06675880741291088,0.06600580202689703,0.05072285448035283,0.005801315837673585,0.013524474858732462,0.013524474858732462,embB
pos_2289213,0.0015888226298198186,0.015353067765957162,0.005159283197954241,0.02863766790703959,0.0019195155415816045,0.008694137647128904,0.0035704605681344224,0.01328460014108243,0.01328460014108243,pncA
pos_2155168,0.026561668825926095,0.03693509934761518,0.028658095856261872,0.027044243459565683,0.02188363595351256,0.023238015034634324,0.002096427030335777,-0.009890855888049496,0.009890855888049496,katG
pos_4248003,0.023681377077803815,0.006361223745365447,0.026924551055444803,0.016224464092926844,0.011752721578631593,0.005278320594497161,0.0032431739776409875,0.009863240347561397,0.009863240347561397,embB
pos_2289090,0.0016311362646168385,0.016376419021200836,0.0018329979421504614,0.007840665666423424,0.0015920944573638665,0.004229461557293546,0.00020186167753362297,-0.008535753354777412,0.008535753354777412,pncA
pos_4247574,0.01717788514467336,0.005645296306252956,0.009763016950712182,0.005675221759632294,0.016837083912896806,0.00608311015131738,-0.0074148681939611785,2.9925453379337635e-05,0.0074148681939611785,embB
pos_763031,0.01285825367101144,0.017027808669756072,0.01409177200302881,0.010659868014672245,0.010480490706371918,0.022523861115406364,0.0012335183320173713,-0.0063679406550838265,0.0063679406550838265,rpoB
pos_2289091,0.004495597641736385,0.005002860296390601,0.01033667821626728,0.00841037231257511,0.0051578857538153,0.0043473846644577355,0.005841080574530895,0.0034075120161845083,0.005841080574530895,pncA
pos_760115,0.01715388012948495,0.008206688914072733,0.011375603094567624,0.007621859384066051,0.021447267114965744,0.011874147640173728,-0.005778277034917326,-0.000584829530006682,0.005778277034917326,rpoB
pos_2289222,5.3689260276918576e-05,0.006682522586902337,0.00032503122346965005,0.0010736161568952827,0.0001589052463336437,9.037893836955925e-06,0.0002713419631927315,-0.005608906430007055,0.005608906430007055,pncA
pos_4247469,0.0012885559675201426,0.0015420973536837321,0.0061289731150771425,0.0038961637760302,0.00023704113221442402,0.0001473627736517711,0.004840417147557,0.002354066422346468,0.004840417147557,embB
pos_2289202,0.003259383306992062,0.00256726638584919,0.007785024636693716,0.0032599193444392085,0.002446258788301949,0.0014239510527503862,0.0045256413297016535,0.0006926529585900183,0.0045256413297016535,pncA
pos_762089,0.013195599917824456,0.002698984913711713,0.008762372272462193,0.0037196453855373006,0.007960473345870555,0.0025317388012561933,-0.004433227645362263,0.0010206604718255878,0.004433227645362263,rpoB
pos_2154724,0.0064866553805024985,0.02051114084052047,0.006623663903180131,0.016531287252087676,0.005379508030609076,0.03365708094753332,0.00013700852267763217,-0.003979853588432794,0.003979853588432794,katG
pos_4247729,0.007077807592609222,0.0018471802222911698,0.003601108625735262,0.0017134020455612275,0.0007925678291575787,0.0004839581887419207,-0.00347669896687396,-0.0001337781767299423,0.00347669896687396,embB
pos_2289040,0.0011512138079395433,0.004749014568584325,0.0032633291081457113,0.007739647363870117,0.0012024956681048564,0.002515919710604268,0.002112115300206168,0.002990632795285792,0.002990632795285792,pncA
pos_1834836,0.003790965053706515,0.0032648321794257235,0.0030521434981609632,0.006160328126345985,0.0029434192471018824,0.002600159673768213,-0.0007388215555455516,0.002895495946920262,0.002895495946920262,rpsA
pos_761161,0.0019486339368140055,0.003490086452513908,0.004599112937840552,0.005518316940213083,0.0025134346442559387,0.0027345400781688964,0.0026504790010265468,0.002028230487699175,0.0026504790010265468,rpoB
pos_761109,0.007247450527310618,0.0066671864741328505,0.004756522313500033,0.006492339257946289,0.003708026152200585,0.0041894697664346565,-0.0024909282138105846,-0.00017484721618656138,0.0024909282138105846,rpoB
pos_761140,0.006772973422712584,0.0028187324174336445,0.007783011052481599,0.005157763505560015,0.007645809129958814,0.003654314478117975,0.0010100376297690148,0.0023390310881263704,0.0023390310881263704,rpoB
pos_4249583,0.004869289288395538,0.0028821324020245854,0.006766819398861969,0.005141868453260437,0.0017242736183361491,0.0020288018978146818,0.0018975301104664308,0.0022597360512358515,0.0022597360512358515,embB
pos_1674048,0.005221302166107575,0.0018109408684784617,0.0030106057612326867,0.0036703039151741376,0.00424647189492992,0.001791665556461003,-0.0022106964048748887,0.001859363046695676,0.0022106964048748887,fabG1
pos_763123,0.0011094613203051203,0.0022481691408742263,0.0021431465077270187,0.004361638695644412,0.0014283137042199723,0.002830574953618665,0.0010336851874218984,0.0021134695547701857,0.0021134695547701857,rpoB
pos_4242803,0.010766962150519635,0.010683397042079976,0.008704202180699713,0.009762773061658268,0.012350464024698403,0.010257980817645106,-0.0020627599698199214,-0.000920623980421708,0.0020627599698199214,embC
pos_761110,0.010000756757604147,0.020952902587551617,0.011195953601758712,0.02299151650338556,0.007863953600150608,0.016788224348856025,0.0011951968441545648,0.0020386139158339416,0.0020386139158339416,rpoB
pos_761139,0.006393755696370956,0.005944471142360772,0.004363110055727636,0.0068268347267534946,0.003717833393346233,0.006086739153297197,-0.00203064564064332,0.0008823635843927223,0.00203064564064332,rpoB
pos_4243346,0.0044605705496265,0.0036724545620715147,0.006339128160689536,0.004870370577410715,0.0026389062525969155,0.0030651998758368954,0.0018785576110630356,0.0011979160153392007,0.0018785576110630356,embA
pos_761277,0.0012273212208492065,0.0031310472842667834,0.002214265361635343,0.004840522359467077,0.0014268426836181916,0.002362673568248726,0.0009869441407861367,0.0017094750752002933,0.0017094750752002933,rpoB
pos_1834177,0.012160805428264252,0.014077702357195486,0.010585680379556737,0.014992878439552153,0.009956375167465985,0.012812028646060437,-0.0015751250487075156,0.0009151760823566668,0.0015751250487075156,rpsA
pos_4243460,0.011993802464618775,0.010636076087027595,0.011929234126158223,0.009190434810070501,0.00892251201494152,0.007826640472455444,-6.456833846055221e-05,-0.0014456412769570937,0.0014456412769570937,embA
pos_4247730,0.020593342650098406,0.01676254603456602,0.02179355165729243,0.01541842321207437,0.0206423193505846,0.012158022441668912,0.0012002090071940238,-0.0013441228224916491,0.0013441228224916491,embB
pos_2289207,0.0016860152356168792,0.0006663886381157636,0.0022428057878287064,0.0019685390307095135,3.839029400187743e-05,3.310895664416604e-05,0.0005567905522118272,0.0013021503925937498,0.0013021503925937498,pncA
pos_762434,0.008887527215648746,0.008005511736966228,0.00765567444432553,0.0068993861395904525,0.011232353094886193,0.009698063128160603,-0.0012318527713232165,-0.001106125597375775,0.0012318527713232165,rpoB
pos_2289047,0.007524274812196581,0.011595630074285539,0.006969480784167845,0.010388192666473861,0.006438985574305092,0.011036950127888086,-0.0005547940280287355,-0.0012074374078116772,0.0012074374078116772,pncA
pos_4249594,0.0020613014220503966,0.0010376605342621553,0.001016747867330051,0.0012526913900715365,0.0022882130352696547,0.0024246178397757845,-0.0010445535547203455,0.0002150308558093812,0.0010445535547203455,embB
pos_4242182,0.007921316647176014,0.005779398452329336,0.0069820779678591415,0.005801208457547799,0.004787974936998844,0.0021747875636995762,-0.0009392386793168721,2.1810005218462526e-05,0.0009392386793168721,embC
pos_4249323,0.003238780418780621,0.0018382319130095858,0.0034196227357124235,0.0027105617430641382,0.001259476320071504,0.0017386811135887588,0.00018084231693180249,0.0008723298300545525,0.0008723298300545525,embB
pos_761155,0.06898554232639266,0.08417223328543269,0.0682513984626862,0.0833096602567917,0.08487618829168662,0.08962390121582753,-0.0007341438637064601,-0.0008625730286409838,0.0008625730286409838,rpoB
