position,shap_INH_only,shap_PZA_only,shap_INH_in_coresist,shap_PZA_in_coresist,shap_INH_neither,shap_PZA_neither,delta_INH,delta_PZA,max_abs_delta,gene
pos_2289073,0.00021066164290599697,0.18433905215759244,0.00025994109918506443,0.006538447051412329,8.546961255664753e-05,0.0063598942419529824,4.9279456279067454e-05,-0.17780060510618012,0.17780060510618012,pncA
pos_2155168,0.17714081794383774,0.06486287187333808,0.11521725018036577,0.02734219822538232,0.3985042897219173,0.027884294207465177,-0.061923567763471965,-0.03752067364795576,0.061923567763471965,katG
pos_4247429,0.0170519589633808,0.04634470973947216,0.01796182474790709,0.08125660351160485,0.03696787856550475,0.06254149613245379,0.0009098657845262904,0.03491189377213269,0.03491189377213269,embB
pos_4247431,0.027037314571211318,0.03189173186132184,0.02251985993956052,0.06527485891222472,0.06772642156694521,0.04793908737091299,-0.004517454631650798,0.03338312705090288,0.03338312705090288,embB
pos_763031,0.009769042434374355,0.03201162948195414,0.004713532035621982,0.011043208578871262,0.031798034866996866,0.035354263672731596,-0.005055510398752372,-0.02096842090308288,0.02096842090308288,rpoB
pos_761155,0.020654912327151692,0.06580151956376397,0.017955240226069855,0.0846653327415869,0.05372258344351775,0.07651659136097375,-0.0026996721010818375,0.01886381317782293,0.01886381317782293,rpoB
pos_2289213,0.0014980696385889839,0.00858304916154463,0.0025650967145769018,0.026272925709981014,0.004710596080179962,0.008970308582184785,0.001067027075987918,0.017689876548436383,0.017689876548436383,pncA
pos_761110,0.009991249558073095,0.008979659180915367,0.0077728311651014135,0.023327422553992685,0.026560795705267697,0.01613544068077654,-0.002218418392971682,0.014347763373077319,0.014347763373077319,rpoB
pos_4248003,0.004625131407471967,0.0034690965475003914,0.0037790082820649057,0.014332345288936099,0.007249210252509758,0.0027813459779465915,-0.0008461231254070613,0.010863248741435707,0.010863248741435707,embB
pos_2154724,0.015125385921179551,0.026224537985123794,0.008919993954842689,0.01700421173043359,0.04167666160289843,0.04722891486542033,-0.006205391966336862,-0.009220326254690204,0.009220326254690204,katG
pos_4247730,0.006135261297182169,0.007723669694209275,0.005492013611532881,0.0162791184139184,0.01533910515171681,0.011167337564501967,-0.0006432476856492878,0.008555448719709126,0.008555448719709126,embB
pos_760115,0.004226550468089389,0.015756336530842505,0.002837416722591741,0.007262526467289985,0.011529949199111107,0.021122275535757115,-0.0013891337454976483,-0.008493810063552518,0.008493810063552518,rpoB
pos_1834683,0.0008224708146090641,0.0013560468188990864,0.004514407818726022,0.00914341524109895,0.0018683833274229747,0.0022399055799031294,0.003691937004116958,0.007787368422199864,0.007787368422199864,rpsA
pos_2289090,0.0008976889630599561,0.003393342475162315,0.003795545952396275,0.01046780252913028,0.0022885123983085237,0.004678812864385021,0.002897856989336319,0.007074460053967965,0.007074460053967965,pncA
pos_4242803,0.005362006506486106,0.015646581321692637,0.0044395645966690475,0.00963944578265458,0.01670572961987061,0.016148288214384323,-0.0009224419098170589,-0.0060071355390380575,0.0060071355390380575,embC
pos_1834177,0.007994672660922086,0.009242040849074474,0.005316005991494912,0.015109203176981797,0.02273163278340105,0.011719330411832107,-0.002678666669427174,0.005867162327907323,0.005867162327907323,rpsA
pos_1674048,0.012288500752135209,0.0007972142353770509,0.007061243656881894,0.0033435543641922873,0.01668361591286986,0.0009331022702877969,-0.005227257095253315,0.0025463401288152365,0.005227257095253315,fabG1
pos_761139,0.0023454366391824177,0.002468203323643904,0.0012675846970822005,0.006863192752109714,0.004087047934407091,0.004429164139409471,-0.0010778519421002172,0.00439498942846581,0.00439498942846581,rpoB
pos_761109,0.001387744067536026,0.002518976501045302,0.0014243664927014545,0.006794261653933699,0.002394539848527725,0.0037632389797140993,3.6622425165428515e-05,0.004275285152888397,0.004275285152888397,rpoB
pos_2289091,0.00022467252462466875,0.003848040918609048,0.00036307475295616314,0.007766638698827584,0.000671719665916396,0.0042390212018896135,0.0001384022283314944,0.003918597780218536,0.003918597780218536,pncA
pos_4243346,0.001770284201987387,0.0009093686745283035,0.002487258629502438,0.0047947031766489455,0.0013782637447439362,0.0008273866599457864,0.0007169744275150511,0.0038853345021206418,0.0038853345021206418,embA
pos_761161,0.00048093899418110033,0.0014184572294199886,0.00042721971194462224,0.005223616663727489,0.0010180594169793631,0.001943610579081254,-5.371928223647809e-05,0.0038051594343075004,0.0038051594343075004,rpoB
pos_762434,0.003133485411452347,0.010459765424301272,0.0016024847647494447,0.006975461661916215,0.006398575992602525,0.011845228687343463,-0.0015310006467029024,-0.0034843037623850572,0.0034843037623850572,rpoB
pos_761140,0.0020162047202895695,0.0013687666488132225,0.0012420591247185662,0.0047578871853192605,0.004521150501535331,0.0031298083081854004,-0.0007741455955710033,0.003389120536506038,0.003389120536506038,rpoB
pos_4242182,0.001089534820723945,0.002674476637426771,0.002534366766393956,0.005995045308067982,0.0020661539587652727,0.001933314101858387,0.0014448319456700108,0.003320568670641211,0.003320568670641211,embC
pos_4249583,0.0008516735532107804,0.0014804089730006068,0.0007963623906575724,0.0047556065889700055,0.0009437887457632679,0.0018795234065524086,-5.5311162553208035e-05,0.0032751976159693984,0.0032751976159693984,embB
pos_1834836,0.0009941990601507215,0.0023962299210316495,0.0010285248482737063,0.005606120572427501,0.0019502609086518052,0.0015206992811065668,3.432578812298482e-05,0.0032098906513958517,0.0032098906513958517,rpsA
pos_1674481,0.0073960866245364005,0.001019397274244274,0.006215750361747183,0.004024821511178579,0.008980755341868868,0.0028964640024604776,-0.0011803362627892172,0.003005424236934305,0.003005424236934305,inhA
pos_2289226,0.0025295563078159902,0.007671648424806493,0.0020377284591603386,0.010290824627400576,0.0010101036073443227,0.005369794247375273,-0.0004918278486556516,0.002619176202594084,0.002619176202594084,pncA
pos_761277,0.0004806216761150591,0.0021384104086714546,0.00015304613195149956,0.004543987619819268,0.0014648200888911177,0.0019878467312438204,-0.00032757554416355957,0.0024055772111478135,0.0024055772111478135,rpoB
pos_4247574,0.0059929719981962415,0.003920607964762166,0.003785023356745336,0.005779141677710217,0.012992759477944408,0.006531882232364746,-0.0022079486414509054,0.0018585337129480503,0.0022079486414509054,embB
pos_2289047,0.002171846828447912,0.008951331402930786,0.0012708597791159302,0.010811440412724922,0.004177927793957429,0.010312922444511775,-0.0009009870493319819,0.0018601090097941364,0.0018601090097941364,pncA
pos_762089,0.003625758201013823,0.0017913014715796641,0.002984301884063796,0.0035627283751282135,0.0005188728440465373,0.001144139329345162,-0.0006414563169500269,0.0017714269035485493,0.0017714269035485493,rpoB
pos_4249323,0.0008399813926831552,0.0009205935476230356,0.0013027543440984049,0.002585515614615286,0.0020784767621073396,0.0020260111092761804,0.0004627729514152497,0.0016649220669922502,0.0016649220669922502,embB
pos_4243460,0.006507492191077412,0.008808763374943308,0.005470672078321817,0.009611630291369841,0.013197755612705319,0.005842520228378594,-0.0010368201127555947,0.0008028669164265329,0.0010368201127555947,embA
