position,shap_RIF_only,shap_INH_only,shap_RIF_in_coresist,shap_INH_in_coresist,shap_RIF_neither,shap_INH_neither,delta_RIF,delta_INH,max_abs_delta,gene
pos_2155168,0.026226924844458016,0.23868501347693938,0.010861914646701132,0.1223924412585746,0.009976136281190762,0.3890104024990272,-0.015365010197756884,-0.11629257221836478,0.11629257221836478,katG
pos_761139,0.11980786302175585,0.002358934312707034,0.03982158096381584,0.0016705457919992646,0.02670060392382246,0.002253494640007489,-0.07998628205794,-0.0006883885207077693,0.07998628205794,rpoB
pos_761161,0.02274946283102532,0.0007199138400259163,0.003009869311176401,0.00038465653503164983,0.006205987436087843,0.0005585177790499528,-0.019739593519848917,-0.0003352573049942665,0.019739593519848917,rpoB
pos_761155,0.2893243852190906,0.023332707134486597,0.2710435728865411,0.018269459161920756,0.3667198197997885,0.061338876709066605,-0.018280812332549523,-0.00506324797256584,0.018280812332549523,rpoB
pos_761110,0.05193134125613341,0.011297081724589968,0.06549546155606391,0.008266216931046781,0.05937691889712528,0.025084170401260285,0.013564120299930496,-0.003030864793543187,0.013564120299930496,rpoB
pos_2154724,0.009859766184613957,0.02224334979807314,0.005594177031464737,0.009389126366262315,0.01783393190926749,0.040765381092779635,-0.00426558915314922,-0.012854223431810826,0.012854223431810826,katG
pos_1674048,0.0009542947285587877,0.018013171666226336,0.0006664171216468876,0.007527752733431999,0.0010087702544434537,0.016249327826621585,-0.00028787760691190004,-0.010485418932794338,0.010485418932794338,fabG1
pos_763031,0.011387747413008844,0.014623167304545189,0.004272659610994346,0.005344122117048113,0.019871290740331806,0.029749572172872316,-0.007115087802014498,-0.009279045187497077,0.009279045187497077,rpoB
pos_4247431,0.01773612320075816,0.03212453212641955,0.014661386736520688,0.022886246547293317,0.029056667630624856,0.06650918204184314,-0.003074736464237471,-0.009238285579126235,0.009238285579126235,embB
pos_4247429,0.01888078904335898,0.015883088299932173,0.02644873589569519,0.017925951331762963,0.041184290234728145,0.037205620954053255,0.0075679468523362076,0.0020428630318307904,0.0075679468523362076,embB
pos_1834177,0.0056505984440084235,0.011204506667040908,0.005465207285255607,0.005482436800778563,0.0053118958729139664,0.02222281550204911,-0.00018539115875281648,-0.0057220698662623455,0.0057220698662623455,rpsA
pos_1674481,0.0013991168231865263,0.010277250203054865,0.000784702483821547,0.005903492255508194,0.0009389588688835245,0.008030213118078958,-0.0006144143393649792,-0.00437375794754667,0.00437375794754667,inhA
pos_4242803,0.007064314048010236,0.007168703936589568,0.003411799041212295,0.004312504961615808,0.010189279195140902,0.01696716981129173,-0.003652515006797941,-0.0028561989749737605,0.003652515006797941,embC
pos_760115,0.008865761467680457,0.0053558488679093606,0.005217651970804705,0.003064447997444453,0.013119002404031365,0.011599259618969767,-0.0036481094968757516,-0.0022914008704649075,0.0036481094968757516,rpoB
pos_4249408,0.005500733026978777,0.0012611689207866893,0.0019903680745291708,0.001681379514164852,0.003568962169982097,0.0016920096958175205,-0.003510364952449606,0.00042021059337816265,0.003510364952449606,embB
pos_4247574,0.0016607791531421934,0.006182332716880189,0.004889243752404194,0.004567965859906555,0.0020342285837447855,0.012337999245203055,0.0032284645992620006,-0.0016143668569736343,0.0032284645992620006,embB
pos_4243346,0.0003474324495858193,0.0012866994753225822,0.0032755934561522182,0.0023439812692621657,0.0005356215065347278,0.0013323748618607459,0.0029281610065663988,0.0010572817939395835,0.0029281610065663988,embA
pos_762089,0.0007767740478241212,0.0016080414888011091,0.002461453553347239,0.0037566563832718307,0.0006399419236515716,0.000772320913543888,0.0016846795055231176,0.0021486148944707215,0.0021486148944707215,rpoB
pos_2289226,0.00038846842146543915,0.000953077808841512,0.002503586929605531,0.0026376553030143094,0.0008231408450470022,0.0011898444338466147,0.0021151185081400917,0.0016845774941727973,0.0021151185081400917,pncA
pos_4248003,0.002550279054260078,0.0035790248004966187,0.004616530310631409,0.0043731291358348,0.003577744710805,0.006939953414279534,0.002066251256371331,0.0007941043353381812,0.002066251256371331,embB
pos_761109,0.004136269297815216,0.0017792071340564353,0.006025684444048087,0.0013076440330769973,0.0024245452106753927,0.0019188871994815606,0.0018894151462328715,-0.00047156310097943807,0.0018894151462328715,rpoB
pos_2289091,0.002878119578708998,0.00033032494499173103,0.004675666256254088,0.00028310205633258316,0.0035304925158944262,0.0006719832669095325,0.0017975466775450896,-4.722288865914787e-05,0.0017975466775450896,pncA
pos_4247730,0.006456097492861908,0.006530202453098361,0.00508766264927171,0.0056307883025033985,0.012031828169313355,0.014546110629754413,-0.0013684348435901977,-0.0008994141505949621,0.0013684348435901977,embB
pos_4240671,0.0033752839260718114,0.0019591849315250907,0.002764804458113448,0.000825396658681534,0.012395771633371916,0.0025300366819134357,-0.0006104794679583636,-0.0011337882728435567,0.0011337882728435567,embC
pos_4243460,0.010276277236740954,0.006856578426940223,0.010488458129796744,0.005769936374993369,0.010915985012715049,0.011949879881777994,0.0002121808930557901,-0.0010866420519468544,0.0010866420519468544,embA
pos_762434,0.0022056350050970426,0.0029655802760084264,0.0013325561516709613,0.0022240382487257455,0.003794163417085838,0.005337953309380041,-0.0008730788534260813,-0.0007415420272826809,0.0008730788534260813,rpoB
pos_1674782,0.0009235416807899159,0.001921568842493006,0.0014979278252193885,0.002786214979638612,0.0014206043137237018,0.002472239409122838,0.0005743861444294726,0.000864646137145606,0.000864646137145606,inhA
pos_1674263,0.00031628503932850657,0.002528834364688161,0.0005714315208031715,0.0016647887925959107,0.0003110901104910618,0.0019752924687058177,0.0002551464814746649,-0.0008640455720922502,0.0008640455720922502,inhA
